
CommandType     Name                                               Version    So
                                                                              ur
                                                                              ce
-----------     ----                                               -------    --
Alias           Get-Pfa2PGroup                                     2.24.70    P…
Alias           New-Pfa2PGroup                                     2.24.70    P…
Alias           Remove-Pfa2PGroup                                  2.24.70    P…
Alias           Update-Pfa2PGroup                                  2.24.70    P…
Cmdlet          Connect-Pfa2Array                                  2.24.70    P…
Cmdlet          Disconnect-Pfa2Array                               2.24.70    P…
Cmdlet          Get-Pfa2ActiveDirectory                            2.24.70    P…
Cmdlet          Get-Pfa2Admin                                      2.24.70    P…
Cmdlet          Get-Pfa2AdminApiToken                              2.24.70    P…
Cmdlet          Get-Pfa2AdminCache                                 2.24.70    P…
Cmdlet          Get-Pfa2AdminSetting                               2.24.70    P…
Cmdlet          Get-Pfa2Alert                                      2.24.70    P…
Cmdlet          Get-Pfa2AlertEvent                                 2.24.70    P…
Cmdlet          Get-Pfa2AlertRule                                  2.24.70    P…
Cmdlet          Get-Pfa2AlertRuleCatalog                           2.24.70    P…
Cmdlet          Get-Pfa2AlertWatcher                               2.24.70    P…
Cmdlet          Get-Pfa2AlertWatcherTest                           2.24.70    P…
Cmdlet          Get-Pfa2ApiClient                                  2.24.70    P…
Cmdlet          Get-Pfa2ApiVersion                                 2.24.70    P…
Cmdlet          Get-Pfa2App                                        2.24.70    P…
Cmdlet          Get-Pfa2AppNode                                    2.24.70    P…
Cmdlet          Get-Pfa2Array                                      2.24.70    P…
Cmdlet          Get-Pfa2ArrayCloudProviderTag                      2.24.70    P…
Cmdlet          Get-Pfa2ArrayConnection                            2.24.70    P…
Cmdlet          Get-Pfa2ArrayConnectionKey                         2.24.70    P…
Cmdlet          Get-Pfa2ArrayConnectionPath                        2.24.70    P…
Cmdlet          Get-Pfa2ArrayEula                                  2.24.70    P…
Cmdlet          Get-Pfa2ArrayFactoryResetToken                     2.24.70    P…
Cmdlet          Get-Pfa2ArrayNtpTest                               2.24.70    P…
Cmdlet          Get-Pfa2ArrayPerformance                           2.24.70    P…
Cmdlet          Get-Pfa2ArraySpace                                 2.24.70    P…
Cmdlet          Get-Pfa2ArraysPerformanceByLink                    2.24.70    P…
Cmdlet          Get-Pfa2Audit                                      2.24.70    P…
Cmdlet          Get-Pfa2Certificate                                2.24.70    P…
Cmdlet          Get-Pfa2Connection                                 2.24.70    P…
Cmdlet          Get-Pfa2ContainerDefaultProtection                 2.24.70    P…
Cmdlet          Get-Pfa2Controller                                 2.24.70    P…
Cmdlet          Get-Pfa2Directory                                  2.24.70    P…
Cmdlet          Get-Pfa2DirectoryExport                            2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPerformance                       2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPolicy                            2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPolicyAutodir                     2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPolicyNfs                         2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPolicyQuota                       2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPolicySmb                         2.24.70    P…
Cmdlet          Get-Pfa2DirectoryPolicySnapshot                    2.24.70    P…
